CODE	VN_NAME	EN_NAME	MARKET	INDUSTRY	IPO	IPO_SHARES	FTRD_DATE	FTRD_CLS	MINDATE	MINDATE_SHLI	MINDATE_SHOU	FTRD_SHLI	ENDDATE
KSD	Tổng CTCP Xuất nhập khẩu Đông Nam Á HAMICO	South East Asia Hamico Export Jsc	HNX	Consumer Goods	2010/04/28	5688000	2010/04/28	50500	2010/04/28	5688000		5688000	2099/12/31
KSH	CTCP Tập đoàn Khoáng sản Hamico	Hamico Group Mineral Jsc	HSX	Basic Materials	2008/11/03	11690000	2008/11/12	20000	2008/11/12	11690000		11690000	2099/12/31
KSS	Tổng CTCP khoáng sản Na Rì Hamico	Nari Hamico Minerals Jsc	HSX	Basic Materials	2009/12/25	11800000	2010/01/04	60000	2010/01/04	11800000		11800000	2099/12/31
KST	CTCP KASATI	Kasati Jsc	HNX	Technology	2010/09/30	2996010	2010/12/29	25500	2010/12/29	2996010		2996010	2099/12/31
KTB	CTCP Đầu tư Khoáng sản Tây Bắc	Tay Bac Minerals Investment Jsc	HSX	Basic Materials	2010/09/24	26800000	2010/10/01	40000	2010/10/01	26800000		26800000	2099/12/31
KTS	CTCP Đường Kon Tum	Kon Tum Sugar Jsc 	HNX	Consumer Goods	2010/12/31	3000000	2010/12/31	41000	2010/12/31	3000000		3000000	2099/12/31
KTT	CTCP Đầu tư Thiết bị và Xây lắp Điện Thiên Trường	Thien Truong Power Equipment Investment And Construction Jsc	HNX	Industrials	2010/10/28	2500000	2010/10/28	16100	2010/10/28	2500000		2500000	2099/12/31
L10	CTCP Lilama 10	Lilama 10 Jsc	HSX	Industrials	2007/12/11	9000000	2007/12/25	50000	2007/12/25	9000000		9000000	2099/12/31
L14	CTCP Licogi 14	Licogi 14 Jsc	HNX	Industrials	2011/09/13	2830000	2011/09/13	12200	2011/09/13	2830000		2830000	2099/12/31
L18	CTCP Đầu tư và Xây dựng số 18	Investment And Construction Jsc No.18	HNX	Industrials	2008/04/23	3500000	2008/04/23	20300	2008/04/23	3500000		3500000	2099/12/31
L35	CTCP CƠ KHÍ LẮP MÁY LILAMA	Lilama Erection Mechanical Jsc	HNX	Industrials	2010/03/25	3265155	2010/03/25	14800	2010/03/25	3265155		3265155	2099/12/31
L43	CTCP Lilama 45.3	Lilama 45.3 Jsc	HNX	Industrials	2008/06/11	3500000	2008/06/11	14900	2008/06/11	3500000		3500000	2099/12/31
L44	CTCP Lilama 45.4	Lilama 45.4 Jsc	HNX	Industrials	2009/12/21	4000000	2009/12/21	16500	2009/12/21	4000000		4000000	2099/12/31
L61	CTCP Lilama 69.1	Lilama 69-1 Jsc	HNX	Industrials	2008/11/19	7015000	2008/11/19	13700	2008/11/19	7015000		7015000	2099/12/31
L62	CTCP Lilama 69.2	Lilama 69-2 Jsc	HNX	Industrials	2008/04/21	3000000	2008/04/21	39000	2008/04/21	3000000		3000000	2099/12/31
LAF	CTCP Chế biến Hàng xuất khẩu Long An	Long An Food Processing Export Jsc	HSX	Consumer Goods	2000/12/11	1909840	2000/12/15	17000	2000/12/15	1909840		1909840	2099/12/31
LAS	CTCP Supe Phốt phát và Hóa chất Lâm Thao	Lam Thao Fertilizers And Chemicals JSC	HNX	Basic Materials	2012/03/01	54050000	2012/03/01	22100	2012/03/01	54050000		54050000	2099/12/31
LBE	CTCP Sách và Thiết bị Trường học Long An	Long An Book And Educational Equipment Jsc	HNX	Consumer Services	2008/02/22	1100000	2008/02/22	39900	2008/02/22	1100000		1100000	2099/12/31
LBM	CTCP Khoáng sản và Vật liệu Xây dựng Lâm Đồng	Lam Dong Mineral And Building Material Jsc	HSX	Industrials	2006/11/30	1639160	2006/12/20	39900	2006/12/20	1639160		1639160	2099/12/31
LCC	Xi măng Lạng Sơn	Lang Son Cement Jsc	UPC	Industrials	2010/05/06	4900000	2010/05/06	0	2010/05/06	4900000		4900000	2099/12/31
LCD	CTCP Lilama Thí nghiệm Cơ điện	Lilama - Electromechanics Testing Jsc	HNX	Industrials	2010/11/15	1324000	2010/11/15	10800	2010/11/15	1324000		1324000	2099/12/31
LCG	CTCP LICOGI 16	Licogi 16 Jsc	HSX	Industrials	2008/10/17	13600000	2008/11/18	48000	2008/11/18	13600000		13600000	2099/12/31
LCM	CTCP Khai thác và Chế biến Khoáng sản Lào Cai	Lao Cai Mineral Exploitation & Processing Jsc	HSX	Basic Materials	2011/09/08	8568000	2011/09/16	22900	2011/09/16	8568000		8568000	2099/12/31
LCS	CTCP LICOGI 16.6	Licogi 16.6 Jsc	HNX	Industrials	2010/07/06	2500000	2010/07/06	43000	2010/07/06	2500000		2500000	2099/12/31
LDP	CTCP Dược Lâm Đồng – Ladophar	Lamdong Pharmaceutical Jsc	HNX	Health Care	2010/07/20	1700000	2010/07/20	80000	2010/07/20	1700000		1700000	2099/12/31
LGC	CTCP Cơ khí - Điện Lữ Gia	Lu Gia Mechanical Electric Jsc	HSX	Industrials	2006/11/29	1000000	2006/12/27	40500	2006/12/27	1000000		1000000	2099/12/31
LGL	CTCP Đầu tư và Phát triển Đô thị Long Giang	Long Giang Investment And Urban Development Jsc	HSX	Financials	2009/09/23	8000000	2009/10/08	36000	2009/10/08	8000000		8000000	2099/12/31
LHC	CTCP Đầu tư và Xây dựng Thủy lợi Lâm Đồng	Lam Dong Investment Hydraulic Construction Joint Stock	HNX	Industrials	2010/01/13	2000000	2010/01/13	60000	2010/01/13	2000000		2000000	2099/12/31
