STK_CODE	STK_NAME	STK_SHARES_IDX	STK_FLOAT_IDX	STK_CAPP_IDX	STK_PRICE	STK_CURR	STK_MULT	CURR_CONV	STK_CURR_CONV	STK_MCAP_IDX	DATES	TIMES	STK_DCAP_IDX	STK_DCURR_CONV	STK_DPRICE	IDX_CURR	IDX_CODE	STK_WGT	NXT_SHARES_IDX	NXT_FLOAT_IDX	NXT_CAPP_IDX	NXT_PRICE	NXT_ADJUST	TO_ADJUST
PXM	Mientrung Petroleum Construction	209740215	100	100	3200.000	VND	1	1.00	3200.000	671168688000.00 	2012/09/13	0:00:00		  	  	VND	PVNHSXPRVND	1.13%						0
PVS	PVN Technical Services	50000000	100	100	15200.000	VND	1	1.00	15200.000	760000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	1.28%						0
PVX	PVN Construction	35000000	100	100	5200.000	VND	1	1.00	5200.000	182000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.31%						0
PVI	PVN Insurance	2000000	100	100	15900.000	VND	1	1.00	15900.000	31800000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.05%						0
PGS	PVN Southern Gas	59841300	100	100	17100.000	VND	1	1.00	17100.000	1023286230000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	1.73%						0
PVC	Drilling Mud Corp	157531264	100	100	12700.000	VND	1	1.00	12700.000	2000647052800.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	3.38%						0
PVR	PVN Premier Recreation	52356713	100	100	3600.000	VND	1	1.00	3600.000	188484166800.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.32%						0
PVG	PVN Northern Gas	23000000	100	100	9300.000	VND	1	1.00	9300.000	213900000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.36%						0
PSI	PVN Securities Incorporated	15000000	100	100	3600.000	VND	1	1.00	3600.000	54000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.09%						0
PFL	Petro Dong Do Joint Stock Company	18000000	100	100	2700.000	VND	1	1.00	2700.000	48600000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.08%						0
PSG	Saigon Petroleum Constrution And Investment JSC	250000000	100	100	1300.000	VND	1	1.00	1300.000	325000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.55%						0
PVE	PVN Investment Consultancy and Engineering	18870000	100	100	9600.000	VND	1	1.00	9600.000	181152000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.31%						0
PPS	Petro Vietnam Power Services Joint Stock Company	35000000	100	100	7200.000	VND	1	1.00	7200.000	252000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.43%						0
PCG	PetroVietnam Gas City Investment and Development JSC	297802094	100	100	6100.000	VND	1	1.00	6100.000	1816592773400.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	3.07%						0
PCT	Cuu Long Petro Gas Service Transportation	38000000	100	100	2900.000	VND	1	1.00	2900.000	110200000000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	0.19%						0
PPE	PetroVietnam Power Engineering Consulting JSC	27719850	100	100	35400.000	VND	1	1.00	35400.000	981282690000.00 	2012/09/13	0:00:00		  	  	VND	PVNHNXPRVND	1.66%						0
DPM	PVN Fertilizer and Chemicals	377647740	100	100	39200.000	VND	1	1.00	39200.000	14803791408000.00 	2012/09/13	0:00:00		  	  	VND	PVNBMPRVND	24.99%						0
PET	PVN General Services	70371300	100	100	11200.000	VND	1	1.00	11200.000	788158560000.00 	2012/09/13	0:00:00		  	  	VND	PVNCSPRVND	1.33%						0
PVF	PVN Finance	100000000	100	100	8300.000	VND	1	1.00	8300.000	830000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNFIPRVND	1.40%						0
PVI	PVN Insurance	600000000	100	100	15900.000	VND	1	1.00	15900.000	9540000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNFIPRVND	16.10%						0
PTL	Petro Capital and Infrastructure Investment	50000000	100	100	2900.000	VND	1	1.00	2900.000	145000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNFIPRVND	0.24%						0
PSI	PVN Securities Incorporated	2000000	100	100	3600.000	VND	1	1.00	3600.000	7200000000.00 	2012/09/13	0:00:00		  	  	VND	PVNFIPRVND	0.01%						0
PFL	Petro Dong Do Joint Stock Company	59841300	100	100	2700.000	VND	1	1.00	2700.000	161571510000.00 	2012/09/13	0:00:00		  	  	VND	PVNFIPRVND	0.27%						0
PVT	PVN Transportation	232600000	100	100	4300.000	VND	1	1.00	4300.000	1000180000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	1.69%						0
PXI	Petroleum Industrial and Civil Construction	30000000	100	100	4000.000	VND	1	1.00	4000.000	120000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.20%						0
PXM	Mientrung Petroleum Construction	15000000	100	100	3200.000	VND	1	1.00	3200.000	48000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.08%						0
PXS	Petroleum Equipment Assembly and Metal Structure	37518001	100	100	9400.000	VND	1	1.00	9400.000	352669209400.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.60%						0
PXT	Petroleum Pipeline and Tank Construction	20000000	100	100	4200.000	VND	1	1.00	4200.000	84000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.14%						0
PCT	Cuu Long Petro Gas Service Transportation	23000000	100	100	2900.000	VND	1	1.00	2900.000	66700000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.11%						0
PPS	Petro Vietnam Power Services Joint Stock Company	15000000	100	100	7200.000	VND	1	1.00	7200.000	108000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.18%						0
PVE	PVN Investment Consultancy and Engineering	18000000	100	100	9600.000	VND	1	1.00	9600.000	172800000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.29%						0
PVX	PVN Construction	250000000	100	100	5200.000	VND	1	1.00	5200.000	1300000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	2.19%						0
PSP	Dinh Vu Petroleum Service Port	22500000	100	100	7400.000	VND	1	1.00	7400.000	166500000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.28%						0
PTT	Indochina Petroleum Transportation	10000000	100	100	11100.000	VND	1	1.00	11100.000	111000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.19%						0
PGD	PVN Low Pressure Gas Distribution	42900000	100	100	38800.000	VND	1	1.00	38800.000	1664520000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	2.81%						0
PVD	PVN Drilling & Well Services	209740215	100	100	35000.000	VND	1	1.00	35000.000	7340907525000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	12.39%						0
PCG	PetroVietnam Gas City Investment and Development JSC	18870000	100	100	6100.000	VND	1	1.00	6100.000	115107000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.19%						0
PSG	Saigon Petroleum Constrution And Investment JSC	35000000	100	100	1300.000	VND	1	1.00	1300.000	45500000000.00 	2012/09/13	0:00:00		  	  	VND	PVNINPRVND	0.08%						0
PVD	PVN Drilling & Well Services	297802094	100	100	35000.000	VND	1	1.00	35000.000	10423073290000.00 	2012/09/13	0:00:00		  	  	VND	PVNOGPRVND	17.59%						0
PVS	PVN Technical Services	10000000	100	100	15200.000	VND	1	1.00	15200.000	152000000000.00 	2012/09/13	0:00:00		  	  	VND	PVNOGPRVND	0.26%						0
PGS	PVN Southern Gas	38000000	100	100	17100.000	VND	1	1.00	17100.000	649800000000.00 	2012/09/13	0:00:00		  	  	VND	PVNOGPRVND	1.10%						0
PVC	Drilling Mud Corp	27719850	100	100	12700.000	VND	1	1.00	12700.000	352042095000.00 	2012/09/13	0:00:00		  	  	VND	PVNOGPRVND	0.59%						0
PVG	PVN Northern Gas	256000000	100	100	9300.000	VND	1	1.00	9300.000	2380800000000.00 	2012/09/13	0:00:00		  	  	VND	PVNOGPRVND	4.02%						0
PGD	PVN Low Pressure Gas Distribution	42900000	100	100	38800.000	VND	1	1.00	38800.000	1664520000000.00 	2012/09/13	0:00:00		  	  	VND	PVNUTPRVND	2.81%						0
NT2	PVN Power NhonTrach 2	256000000	100	100	5900.000	VND	1	1.00	5900.000	1510400000000.00 	2012/09/13	0:00:00		  	  	VND	PVNUTPRVND	2.55%						0
PCG	PetroVietnam Gas City Investment and Development JSC	18870000	100	100	6100.000	VND	1	1.00	6100.000	115107000000.00 	2012/09/13	0:00:00		  	  	VND	PVNUTPRVND	0.19%						0
